LAST SEEN   TYPE      REASON                   OBJECT                                          MESSAGE
26m         Normal    Scheduled                pod/drasi-mongo-0                               Successfully assigned drasi-system/drasi-mongo-0 to aks-system-12296413-vmss000000
25m         Normal    Started                  pod/drasi-redis-0                               Started container redis
25m         Normal    Pulled                   pod/drasi-redis-0                               Container image "ghcr.io/drasi-project/redis:7-alpine" already present on machine
25m         Normal    Created                  pod/drasi-redis-0                               Created container: redis
25m         Normal    SuccessfulDelete         statefulset/drasi-redis                         delete Pod drasi-redis-0 in StatefulSet drasi-redis successful
25m         Normal    Killing                  pod/drasi-redis-0                               Stopping container redis
25m         Normal    SuccessfulCreate         statefulset/drasi-redis                         create Pod drasi-redis-0 in StatefulSet drasi-redis successful
25m         Normal    Scheduled                pod/drasi-redis-0                               Successfully assigned drasi-system/drasi-redis-0 to aks-system-12296413-vmss000001
25m         Normal    Pulled                   pod/drasi-mongo-0                               Container image "ghcr.io/drasi-project/mongo:6" already present on machine
25m         Normal    Started                  pod/drasi-mongo-0                               Started container mongo
25m         Normal    Created                  pod/drasi-mongo-0                               Created container: mongo
25m         Normal    Pulled                   pod/drasi-redis-0                               Container image "ghcr.io/drasi-project/redis:7-alpine" already present on machine
25m         Normal    Created                  pod/drasi-redis-0                               Created container: redis
25m         Normal    Started                  pod/drasi-redis-0                               Started container redis
22m         Warning   Failed                   pod/default-publish-api-7997dbd966-xsg95        Error: ImagePullBackOff
22m         Normal    BackOff                  pod/default-publish-api-7997dbd966-xsg95        Back-off pulling image "drasi-project/query-container-publish-api:latest"
20m         Normal    SuccessfulCreate         replicaset/default-publish-api-bbf795587        Created pod: default-publish-api-bbf795587-pr9wb
20m         Normal    SuccessfulDelete         replicaset/default-publish-api-7997dbd966       Deleted pod: default-publish-api-7997dbd966-xsg95
20m         Normal    ScalingReplicaSet        deployment/default-publish-api                  Scaled down replica set default-publish-api-7997dbd966 from 1 to 0
20m         Normal    Scheduled                pod/default-publish-api-bbf795587-pr9wb         Successfully assigned drasi-system/default-publish-api-bbf795587-pr9wb to aks-system-12296413-vmss000000
19m         Normal    Pulling                  pod/default-publish-api-bbf795587-pr9wb         Pulling image "drasi-project/query-container-publish-api:latest"
19m         Normal    Started                  pod/default-publish-api-bbf795587-pr9wb         Started container daprd
19m         Normal    Created                  pod/default-publish-api-bbf795587-pr9wb         Created container: daprd
19m         Normal    Pulled                   pod/default-publish-api-bbf795587-pr9wb         Container image "daprio/daprd:1.9.0" already present on machine
19m         Warning   Failed                   pod/default-publish-api-bbf795587-pr9wb         Error: ErrImagePull
19m         Warning   Failed                   pod/default-publish-api-bbf795587-pr9wb         Failed to pull image "drasi-project/query-container-publish-api:latest": failed to pull and unpack image "docker.io/drasi-project/query-container-publish-api:latest": failed to resolve reference "docker.io/drasi-project/query-container-publish-api:latest": pull access denied, repository does not exist or may require authorization: server message: insufficient_scope: authorization failed
19m         Warning   BackOff                  pod/default-publish-api-bbf795587-pr9wb         Back-off restarting failed container daprd in pod default-publish-api-bbf795587-pr9wb_drasi-system(bce4c290-4a34-498e-9c45-7c0e7ffc71fb)
17m         Warning   Failed                   pod/default-query-host-6648c44f9-cqnmv          Error: ImagePullBackOff
17m         Normal    BackOff                  pod/default-query-host-6648c44f9-cqnmv          Back-off pulling image "drasi-project/query-container-query-host:latest"
17m         Normal    BackOff                  pod/default-view-svc-59cc5cf78b-c64fq           Back-off pulling image "drasi-project/query-container-view-svc:latest"
17m         Warning   Failed                   pod/default-view-svc-59cc5cf78b-c64fq           Error: ImagePullBackOff
16m         Normal    Scheduled                pod/default-query-host-86545969c-b882s          Successfully assigned drasi-system/default-query-host-86545969c-b882s to aks-system-12296413-vmss000001
16m         Normal    SuccessfulCreate         replicaset/default-query-host-86545969c         Created pod: default-query-host-86545969c-b882s
16m         Normal    ScalingReplicaSet        deployment/default-query-host                   Scaled down replica set default-query-host-6648c44f9 from 1 to 0
16m         Normal    SuccessfulDelete         replicaset/default-query-host-6648c44f9         Deleted pod: default-query-host-6648c44f9-cqnmv
15m         Normal    Pulling                  pod/default-query-host-86545969c-b882s          Pulling image "drasi-project/query-container-query-host:latest"
15m         Warning   Failed                   pod/default-query-host-86545969c-b882s          Failed to pull image "drasi-project/query-container-query-host:latest": failed to pull and unpack image "docker.io/drasi-project/query-container-query-host:latest": failed to resolve reference "docker.io/drasi-project/query-container-query-host:latest": pull access denied, repository does not exist or may require authorization: server message: insufficient_scope: authorization failed
15m         Warning   Failed                   pod/default-query-host-86545969c-b882s          Error: ErrImagePull
15m         Normal    Pulled                   pod/default-query-host-86545969c-b882s          Container image "daprio/daprd:1.9.0" already present on machine
15m         Normal    Started                  pod/default-query-host-86545969c-b882s          Started container daprd
15m         Normal    Created                  pod/default-query-host-86545969c-b882s          Created container: daprd
15m         Warning   BackOff                  pod/default-query-host-86545969c-b882s          Back-off restarting failed container daprd in pod default-query-host-86545969c-b882s_drasi-system(27b3c9fd-3ebe-4eae-b39c-2a27cad501e3)
12m         Normal    SuccessfulDelete         replicaset/default-view-svc-59cc5cf78b          Deleted pod: default-view-svc-59cc5cf78b-c64fq
12m         Normal    ScalingReplicaSet        deployment/default-view-svc                     Scaled down replica set default-view-svc-59cc5cf78b from 1 to 0
12m         Normal    SuccessfulCreate         replicaset/default-view-svc-6769fdccc7          Created pod: default-view-svc-6769fdccc7-kqqgb
12m         Normal    Scheduled                pod/default-view-svc-6769fdccc7-kqqgb           Successfully assigned drasi-system/default-view-svc-6769fdccc7-kqqgb to aks-system-12296413-vmss000001
12m         Normal    BackOff                  pod/default-publish-api-54d488cf5f-2smnr        Back-off pulling image "drasi-project/query-container-publish-api:latest"
12m         Warning   Failed                   pod/default-publish-api-54d488cf5f-2smnr        Error: ImagePullBackOff
12m         Warning   Failed                   pod/default-view-svc-8698f5ff6c-z9jxh           Error: ImagePullBackOff
12m         Normal    BackOff                  pod/default-view-svc-8698f5ff6c-z9jxh           Back-off pulling image "drasi-project/query-container-view-svc:latest"
12m         Normal    BackOff                  pod/default-query-host-5c9b69855d-rhc7c         Back-off pulling image "drasi-project/query-container-query-host:latest"
12m         Warning   Failed                   pod/default-query-host-5c9b69855d-rhc7c         Error: ImagePullBackOff
11m         Normal    Pulling                  pod/default-view-svc-6769fdccc7-kqqgb           Pulling image "drasi-project/query-container-view-svc:latest"
11m         Normal    Started                  pod/default-view-svc-6769fdccc7-kqqgb           Started container daprd
11m         Warning   Failed                   pod/default-view-svc-6769fdccc7-kqqgb           Failed to pull image "drasi-project/query-container-view-svc:latest": failed to pull and unpack image "docker.io/drasi-project/query-container-view-svc:latest": failed to resolve reference "docker.io/drasi-project/query-container-view-svc:latest": pull access denied, repository does not exist or may require authorization: server message: insufficient_scope: authorization failed
11m         Warning   Failed                   pod/default-view-svc-6769fdccc7-kqqgb           Error: ErrImagePull
11m         Normal    Created                  pod/default-view-svc-6769fdccc7-kqqgb           Created container: daprd
11m         Normal    Pulled                   pod/default-view-svc-6769fdccc7-kqqgb           Container image "daprio/daprd:1.9.0" already present on machine
11m         Warning   Failed                   pod/default-view-svc-6769fdccc7-kqqgb           Error: ImagePullBackOff
11m         Normal    BackOff                  pod/default-view-svc-6769fdccc7-kqqgb           Back-off pulling image "drasi-project/query-container-view-svc:latest"
11m         Warning   BackOff                  pod/default-view-svc-6769fdccc7-kqqgb           Back-off restarting failed container daprd in pod default-view-svc-6769fdccc7-kqqgb_drasi-system(75d02fa2-cbc0-4e77-a449-1068f70b6c5d)
11m         Warning   FailedCreate             replicaset/drasi-view-service-8565f488f8        Error creating: pods "drasi-view-service-8565f488f8-" is forbidden: error looking up service account drasi-system/drasi-sa: serviceaccount "drasi-sa" not found
11m         Warning   Failed                   pod/default-query-host-86545969c-b882s          Error: ImagePullBackOff
11m         Normal    BackOff                  pod/default-query-host-86545969c-b882s          Back-off pulling image "drasi-project/query-container-query-host:latest"
10m         Normal    BackOff                  pod/default-publish-api-bbf795587-pr9wb         Back-off pulling image "drasi-project/query-container-publish-api:latest"
10m         Warning   Failed                   pod/default-publish-api-bbf795587-pr9wb         Error: ImagePullBackOff
8m38s       Normal    ScalingReplicaSet        deployment/default-publish-api                  Scaled down replica set default-publish-api-bbf795587 from 1 to 0
8m38s       Normal    ScalingReplicaSet        deployment/default-publish-api                  Scaled down replica set default-publish-api-54d488cf5f from 1 to 0
8m38s       Normal    SuccessfulDelete         replicaset/default-publish-api-54d488cf5f       Deleted pod: default-publish-api-54d488cf5f-2smnr
8m38s       Normal    SuccessfulDelete         replicaset/default-publish-api-bbf795587        Deleted pod: default-publish-api-bbf795587-pr9wb
8m37s       Normal    ScalingReplicaSet        deployment/default-query-host                   Scaled down replica set default-query-host-5c9b69855d from 1 to 0
8m37s       Normal    SuccessfulDelete         replicaset/default-query-host-86545969c         Deleted pod: default-query-host-86545969c-b882s
8m37s       Normal    SuccessfulDelete         replicaset/default-view-svc-8698f5ff6c          Deleted pod: default-view-svc-8698f5ff6c-z9jxh
8m37s       Normal    ScalingReplicaSet        deployment/default-view-svc                     Scaled down replica set default-view-svc-6769fdccc7 from 1 to 0
8m37s       Normal    ScalingReplicaSet        deployment/default-query-host                   Scaled down replica set default-query-host-86545969c from 1 to 0
8m37s       Normal    SuccessfulDelete         replicaset/default-query-host-5c9b69855d        Deleted pod: default-query-host-5c9b69855d-rhc7c
8m37s       Normal    SuccessfulDelete         replicaset/default-view-svc-6769fdccc7          Deleted pod: default-view-svc-6769fdccc7-kqqgb
8m37s       Normal    ScalingReplicaSet        deployment/default-view-svc                     Scaled down replica set default-view-svc-8698f5ff6c from 1 to 0
8m27s       Normal    ScalingReplicaSet        deployment/default-publish-api                  Scaled up replica set default-publish-api-bbf795587 from 0 to 1
8m27s       Normal    SuccessfulCreate         replicaset/default-publish-api-bbf795587        Created pod: default-publish-api-bbf795587-76pz6
8m27s       Normal    Scheduled                pod/default-publish-api-bbf795587-76pz6         Successfully assigned drasi-system/default-publish-api-bbf795587-76pz6 to aks-system-12296413-vmss000001
7m35s       Normal    Pulling                  pod/default-publish-api-bbf795587-76pz6         Pulling image "drasi-project/query-container-publish-api:latest"
7m33s       Warning   Failed                   pod/default-publish-api-bbf795587-76pz6         Error: ErrImagePull
7m33s       Normal    Started                  pod/default-publish-api-bbf795587-76pz6         Started container daprd
7m33s       Normal    Pulled                   pod/default-publish-api-bbf795587-76pz6         Container image "daprio/daprd:1.9.0" already present on machine
7m33s       Warning   Failed                   pod/default-publish-api-bbf795587-76pz6         Failed to pull image "drasi-project/query-container-publish-api:latest": failed to pull and unpack image "docker.io/drasi-project/query-container-publish-api:latest": failed to resolve reference "docker.io/drasi-project/query-container-publish-api:latest": pull access denied, repository does not exist or may require authorization: server message: insufficient_scope: authorization failed
7m33s       Normal    Created                  pod/default-publish-api-bbf795587-76pz6         Created container: daprd
7m32s       Warning   BackOff                  pod/default-publish-api-bbf795587-76pz6         Back-off restarting failed container daprd in pod default-publish-api-bbf795587-76pz6_drasi-system(a35a7d46-ef22-410b-b4ca-1b490dc1a309)
4m25s       Normal    ScalingReplicaSet        deployment/default-query-host                   Scaled up replica set default-query-host-86545969c from 0 to 1
4m25s       Normal    SuccessfulCreate         replicaset/default-query-host-86545969c         Created pod: default-query-host-86545969c-rq7xm
4m25s       Normal    Scheduled                pod/default-query-host-86545969c-rq7xm          Successfully assigned drasi-system/default-query-host-86545969c-rq7xm to aks-system-12296413-vmss000001
3m33s       Normal    Pulling                  pod/default-query-host-86545969c-rq7xm          Pulling image "drasi-project/query-container-query-host:latest"
3m31s       Warning   Failed                   pod/default-query-host-86545969c-rq7xm          Error: ErrImagePull
3m31s       Normal    Started                  pod/default-query-host-86545969c-rq7xm          Started container daprd
3m31s       Normal    Created                  pod/default-query-host-86545969c-rq7xm          Created container: daprd
3m31s       Normal    Pulled                   pod/default-query-host-86545969c-rq7xm          Container image "daprio/daprd:1.9.0" already present on machine
3m31s       Warning   Failed                   pod/default-query-host-86545969c-rq7xm          Failed to pull image "drasi-project/query-container-query-host:latest": failed to pull and unpack image "docker.io/drasi-project/query-container-query-host:latest": failed to resolve reference "docker.io/drasi-project/query-container-query-host:latest": pull access denied, repository does not exist or may require authorization: server message: insufficient_scope: authorization failed
3m19s       Normal    BackOff                  pod/default-query-host-86545969c-rq7xm          Back-off pulling image "drasi-project/query-container-query-host:latest"
3m19s       Warning   Failed                   pod/default-query-host-86545969c-rq7xm          Error: ImagePullBackOff
3m19s       Warning   BackOff                  pod/default-query-host-86545969c-rq7xm          Back-off restarting failed container daprd in pod default-query-host-86545969c-rq7xm_drasi-system(78908488-24a7-4c04-a8d5-26faf9ea5cd6)
3m15s       Normal    BackOff                  pod/default-publish-api-bbf795587-76pz6         Back-off pulling image "drasi-project/query-container-publish-api:latest"
3m15s       Warning   Failed                   pod/default-publish-api-bbf795587-76pz6         Error: ImagePullBackOff
22s         Normal    SuccessfulCreate         replicaset/default-view-svc-6769fdccc7          Created pod: default-view-svc-6769fdccc7-9xwc2
22s         Normal    ScalingReplicaSet        deployment/default-view-svc                     Scaled up replica set default-view-svc-6769fdccc7 from 0 to 1
22s         Normal    Scheduled                pod/default-view-svc-6769fdccc7-9xwc2           Successfully assigned drasi-system/default-view-svc-6769fdccc7-9xwc2 to aks-system-12296413-vmss000000
4s          Normal    Pulling                  pod/default-view-svc-6769fdccc7-9xwc2           Pulling image "drasi-project/query-container-view-svc:latest"
2s          Normal    BackOff                  pod/default-view-svc-6769fdccc7-9xwc2           Back-off pulling image "drasi-project/query-container-view-svc:latest"
2s          Warning   Failed                   pod/default-view-svc-6769fdccc7-9xwc2           Error: ErrImagePull
2s          Warning   Failed                   pod/default-view-svc-6769fdccc7-9xwc2           Failed to pull image "drasi-project/query-container-view-svc:latest": failed to pull and unpack image "docker.io/drasi-project/query-container-view-svc:latest": failed to resolve reference "docker.io/drasi-project/query-container-view-svc:latest": pull access denied, repository does not exist or may require authorization: server message: insufficient_scope: authorization failed
2s          Normal    Created                  pod/default-view-svc-6769fdccc7-9xwc2           Created container: daprd
2s          Normal    Started                  pod/default-view-svc-6769fdccc7-9xwc2           Started container daprd
2s          Normal    Pulled                   pod/default-view-svc-6769fdccc7-9xwc2           Container image "daprio/daprd:1.9.0" already present on machine
2s          Warning   BackOff                  pod/default-view-svc-6769fdccc7-9xwc2           Back-off restarting failed container daprd in pod default-view-svc-6769fdccc7-9xwc2_drasi-system(e85fa30a-0d95-4831-b6c0-a5e7abe5b13a)
2s          Warning   Failed                   pod/default-view-svc-6769fdccc7-9xwc2           Error: ImagePullBackOff

